"Gene Name"	"Ensembl"	"GeneCards"
HS05250	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000129167'>ENSG00000129167</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH'>TPH</a>"
G-15358		
G-11479		
G-17618		
G-54977		
G6804		
AT1G18590		
EG12252		
HS10201	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000170892'>ENSG00000170892</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG5'>LENG5</a>"
G6577		
G-58264		
EG10800		
G-11991		
G6784		
AT3G61580		
EG11236		
G-18014		
G-12401		
G-279		
G-9214		
G-10059		
G-9820		
G-133		
G-10512		
G-424		
G6321		
G-14923		
EG11486		
G-44057		
G7888		
HS00205		
G7406		
G-10986		
EG11568		
HS05019	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000126457'>ENSG00000126457</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HRMT1L2'>HRMT1L2</a>"
G7685		
G-15341		
G6674		
G-11461		
G6260		
G-44461		
G7686		
G-1686		
G7405		
G-54959		
AT1G12780		
HS09898		
G-58248		
G-11965		
AT3G53520		
G-180		
G-12386		
G-27222		
G-9192		
G-10043		
G-9797		
G-1283		
G-10490		
G-408		
G-14903		
G-44041		
HS00017		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HGNT-IV-H'>HGNT-IV-H</a>"
G-10969		
HS04613	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000122884'>ENSG00000122884</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA1'>P4HA1</a>"
G-15322		
G-11438		
G-44445		
G-1624		
G-529		
AT1G06820		
HS09657	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167900'>ENSG00000167900</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TK1'>TK1</a>"
G-11945		
AT3G45140		
G-17984		
G-12370		
G-58235		
G-27208		
G-9169		
G-10023		
G-12803		
G-10470		
G-390		
G-14886		
G-44025		
GIO2-991		
G-10953		
HS04372	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120137'>ENSG00000120137</a>"	
G-15306		
G-11420		
G-44429		
G-16077		
G-5201		
AT1G01280		
HS09420	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166548'>ENSG00000166548</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TK2'>TK2</a>"
G-11928		
AT3G25770		
G-17966		
G-12354		
G-58218		
G-27193		
G-9133		
G-10001		
G-12785		
G-10441		
G-3790		
G-14870		
G-9760		
G-44009		
G66-37887		
G-10934		
G-15290		
G-11400		
G-44414		
G-16058		
HS04183		
G-512		
HS09149		
G-11912		
AT3G21560		
G-17946		
G-12333		
G-58202		
G-27175		
G-9102		
CKX1		
G-12769		
G-10420		
G-372		
G-14854		
G-9732		
G-43993		
G3O-33493		
G-10915		
G-15270		
G-11384		
G-44398		
G-16035		
HS04051	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000116771'>ENSG00000116771</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=AGMAT'>AGMAT</a>"
G-498		
HS08839		
G-11891		
AT3G16390		
G-17925		
G-12315		
G-58185		
G-27159		
G-9087		
ATMG00730		
G-12751		
G-10397		
G-361		
G-14836		
G-9712		
G-43977		
G3O-32253		
G-10896		
G-15250		
G-11366		
G-44380		
G-16015		
HS03904	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000115525'>ENSG00000115525</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT9'>SIAT9</a>"
G-480		
HS08587		
G-11869		
AT3G11670		
G-17909		
G-12297		
G-58169		
G-27139		
G-9060		
AT5G67590		
G-12735		
G-10379		
G-348		
G-14820		
G-9687		
G-43961		
G2OL-31		
G-10880		
G-15231		
G-11338		
G-44364		
G-16000		
HS03761		
G-44755		
HS08461	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000160200'>ENSG00000160200</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS'>CBS</a>"
G-11851		
AT3G05970		
G-17893		
G-12281		
G-58153		
G-27108		
G-9041		
AT5G61760		
G-12719		
G-10359		
G-34636		
G-14798		
G-9659		
G-43945		
G18NG-10730		
G-10858		
G-15213		
G-11322		
G-44330		
G-15986		
HS03615		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PECI'>PECI</a>"
G-44739		
HS08224		
G-11834		
AT2G47730		
G-17876		
G-12264		
G-58133		
G-262		
G-9023		
AT5G55120		
G-12696		
G-10343		
G-34620		
G-14775		
G-9634		
G-43928		
G185E-8096		
G-10831		
G-15198		
G-11277		
G-44307		
G-15968		
HS03372	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111144'>ENSG00000111144</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA4H'>LTA4H</a>"
G-44723		
HS07962		
G-11805		
AT2G43750		
G-17860		
G-12247		
G-58115		
G-252		
YOL086C		
G-9001		
AT5G49460		
G-12676		
G-10327		
G-34595		
G-14759		
G-9606		
G-43912		
G185E-7837		
G-10812		
G-15181		
G-11255		
G-44291		
G-15949		
HS03242	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000109610'>ENSG00000109610</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3'>SOD3</a>"
G-44706		
HS07712		
G-11789		
AT2G36800		
G-17841		
G-12230		
G-5662		
G-243		
YMR015C		
G-8866		
AT5G43780		
G-12659		
G-10300		
G-34573		
G-14741		
G-9585		
G-43895		
G185E-7792		
G-10794		
G-15162		
G-11236		
G-44274		
G-15930		
HS02989	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000107317'>ENSG00000107317</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDS'>PTGDS</a>"
G-44690		
HS07544		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPSS2'>PAPSS2</a>"
G-11771		
AT2G33070		
G-17824		
G-12211		
G-55194		
G-235		
YLR027C		
G-8707		
AT5G37510		
G-12641		
G-10280		
G-34557		
G-14710		
G-9559		
G-43878		
G185E-7212		
G-10772		
G-15146		
G-11218		
G-44258		
G-1581		
HS02763		
G-44674		
HS07403		
G-11738		
AT2G27760		
G-17806		
G-12195		
G-55177		
G-2287		
YHR128W		
G-86		
AT5G25265		
G-12618		
G-10258		
G-34541		
G-14679		
G-9542		
G-43862		
G185E-6686		
G-10750		
G-15125		
G-11193		
G-44241		
G-15537		
HS02481	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103257'>ENSG00000103257</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A5'>SLC7A5</a>"
G-44658		
HS07195		
G-11720		
AT2G23250		
G-17788		
G-12179		
G-55156		
G-223		
YGL063W		
G-8221		
AT5G17920		
G-12598		
G-10241		
G-34524		
G-14660		
G-9523		
G-43846		
G185E-5885		
G-10734		
G-15103		
G-11173		
G-44220		
G-15521		
HS02191		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA'>ADA</a>"
G-44636		
HS07011	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143224'>ENSG00000143224</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPOX'>PPOX</a>"
G-11702		
AT2G18950		
G-17769		
G-12161		
G-55138		
G-214		
YDR481C		
G-7963		
AT5G13700		
G-12579		
G-10221		
G-34507		
G-14640		
G-95		
G-43830		
G185E-5362		
G-10710		
G-15082		
G-11155		
G-44204		
G-15500		
HS02045		
G-44619		
HS06822		
G-11647		
AT2G01350		
G-17751		
G-12137		
G-55120		
G-2061		
YBR208C		
G-7387		
AT5G08280		
G-12553		
G-102		
G-34491		
G-14620		
G-9467		
G-43806		
G185E-4366		
G-10685		
G-15066		
G185E-4779		
G-11137		
G185E-6745		
G-44188		
G185E-4777		
G-15485		
G185E-4778		
G-15062		
G-11134		
G-44185		
G-15482		
HS01791	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000093010'>ENSG00000093010</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT'>COMT</a>"
G-44600		
HS06583		
G-11620		
G-17724		
G185E-6317		
G-12110		
EG12265		
G-55100		
G-197		
AT1G78590		
RHA1_RO08058		
SYNPCC7942_1593		
EG11195		
G-7		
MGI:2181962		
AT5G03860		
YOR303W		
G-12534		
BSU39680		
G-34471		
MGI:1099431		
G-14597		
YOL140W		
G-9448		
BSU35760		
G-43787		
HS16149	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000172922'>ENSG00000172922</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ20974'>FLJ20974</a>"
G-10178		
YMR300C		
G-9971		
BSU35540		
G-10662		
HS14648	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000157045'>ENSG00000157045</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC123803'>LOC123803</a>"
G-15046		
YMR008C		
G-11117		
BSU28810		
G-44168		
HS13735	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138621'>ENSG00000138621</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MDS018'>MDS018</a>"
G-15465		
BSU15510		
HS01502		
HS13101	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000123815'>ENSG00000123815</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ12229'>FLJ12229</a>"
G-44583		
YLL041C		
HS06434	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138018'>ENSG00000138018</a>"	
BSU11710		
G-11587		
HS11953		
G-17708		
YJR131W		
G-12090		
BSU06150		
G-55074		
HP0326B		
G-188		
YIR027C		
AT1G74470		
AT5G51820		
RHA1_RO04679		
GT3Z-6196		
G-669		
YGR277C		
AT4G35090		
AT5G23300		
G-12514		
GCEQ-2175		
G-330		
YGL022W		
G-14574		
AT4G37870		
G-9432		
G6770		
G-43770		
YDR315C		
G-10160		
AT4G14440		
G-9951		
G6502		
G-10641		
YDL052C		
G-15030		
AT3G54690		
G-44152		
G3O-34034		
G-15447		
YBL082C		
HS01279		
AT3G23920		
G-44566		
G3O-33091		
G-11104		
SYNPCC7942_2537		
HS06223	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000136840'>ENSG00000136840</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT7D'>SIAT7D</a>"
AT3G03630		
G-11570		
G3O-32147		
G-17692		
SYNPCC7942_2093		
G-55055		
AT2G39030		
G-18091		
G3O-310		
AT1G68530		
SYNPCC7942_1637		
HS11928		
AT2G05830		
G-6461		
G3O-29720		
AT4G31500		
SYNPCC7942_1231		
G-12493		
AT1G64400		
G-324		
G3O-28927		
G-14546		
SYNPCC7942_1002		
G-9402		
AT1G27130		
G-43754		
G185E-7683		
G-10144		
SYNPCC7942_0456		
G-9934		
G185E-5383		
G-10613		
SYNPCC7942_0169		
G-15014		
G0-10441		
G-44136		
SCO5088		
G-15431		
G-17747		
HS01069		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SHMT1'>SHMT1</a>"
RHA1_RO10208		
G-44548		
EG12387		
G-11080		
EG12097		
HS05952	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135094'>ENSG00000135094</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDS'>SDS</a>"
RHA1_RO08054		
G-11554		
YPR184W		
G-17675		
EG11121		
G-55039		
MGI:1927578		
G-18075		
YOR221C		
AT1G63970		
BSU38530		
HS11319	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000178814'>ENSG00000178814</a>"	
HS17749	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000181915'>ENSG00000181915</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ14547'>FLJ14547</a>"
G-6221		
YOL052C		
G-12061		
BSU35730		
AT4G26260		
HS15970	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171262'>ENSG00000171262</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000171262'>ENSG00000171262</a>"
G-12471		
YMR271C		
G-315		
HS14470	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000153406'>ENSG00000153406</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSCARG'>HSCARG</a>"
G-9355		
YML120C		
G-43737		
BSU27010		
G-10125		
HS13612	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000136104'>ENSG00000136104</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ11712'>FLJ11712</a>"
G-9916		
YLR299W		
G-14518		
BSU15350		
G-10593		
HS12771		
G-14998		
YKR053C		
G-44120		
BSU11680		
G-15417		
HS11932		
HS00906	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000067225'>ENSG00000067225</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM2'>PKM2</a>"
YJR019C		
G-44532		
BSU02100		
G-11054		
HP0197		
HS05714	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000132965'>ENSG00000132965</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP'>ALOX5AP</a>"
YIL124W		
G-11536		
AT5G47720		
G-17660		
GQT-3947		
G-55021		
YGR177C		
G-18059		
AT5G17380		
AT1G55920		
G7756		
HS10902	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000175264'>ENSG00000175264</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST1'>CHST1</a>"
YFR019W		
G-60		
AT4G33670		
G-12045		
G66-33964	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000347667'>ENST00000347667</a>" // "<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000330333'>ENST00000330333</a>" // "<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000328735'>ENST00000328735</a>"	
AT4G19680		
YDR236C		
G-12446		
AT4G13280		
G-305		
G6269		
G-9314		
YCR048W		
G-43719		
AT3G51240		
G-10104		
G3O-33794		
G-9898		
YAL060W		
G-14501		
AT3G22740		
G-10573		
G3O-32977		
G-14982		
SYNPCC7942_2478		
G-44104		
AT3G01500		
HS00650	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000052802'>ENSG00000052802</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SC4MOL'>SC4MOL</a>"
G3O-32035		
G-44508		
SYNPCC7942_2049		
G-11032		
AT2G37770		
HS05535	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000131473'>ENSG00000131473</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY'>ACLY</a>"
G3O-30709		
G-15404		
SYNPCC7942_1479		
G-11511		
AT1G80360		
G-17646		
G3O-29519		
G-55005		
SYNPCC7942_1181		
G-18042		
AT1G62540		
AT1G47260		
G3O-2		
HS10646		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO2'>ENO2</a>"
SYNPCC7942_0890		
G-58294		
AT1G23310		
G-12024		
G185E-7330		
AT4G14880		
SYNPCC7942_0337		
G-12430		
G185E-5310		
G-2981		
SYNPCC7942_0098		
G-9291		
G-9245		
G-43702		
SCO5080		
G-10089		
G-15403		
G-9872		
RHA1_RO10143		
G-14479		
EG11581		
G-10548		
Q0045		
G-14963		
YPR069C		
G-44086		
EG10395		
HS00516	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000036473'>ENSG00000036473</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC'>OTC</a>"
MGI:1914353		
G-44487		
YOR171C		
G-11014		
BSU38500		
HS05379	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130383'>ENSG00000130383</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT5'>FUT5</a>"
HS17320	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171004'>ENSG00000171004</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HS6ST2'>HS6ST2</a>"
G-15379		
YNR043W		
G-11495		
BSU35700		
G-17631		
HS15658	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000168288'>ENSG00000168288</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CL25022'>CL25022</a>"
G-54990		
YMR220W		
AT1G23740		
BSU34120		
HS10376	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171766'>ENSG00000171766</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GATM'>GATM</a>"
HS14230	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148057'>ENSG00000148057</a>"	
G-58278		
YML075C		
G-12006		
BSU24270		
AT4G04610		
HS13442	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000132763'>ENSG00000132763</a>"	
G-18028		
YLR239C		
G-12414		
BSU14870		
G-291		
HS12491	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000102794'>ENSG00000102794</a>"	
G-9241		
YKL184W		
G-10073		
BSU11650		
G-9838		
HS04350		
G-141		
YJL130C		
G-10528		
AT5G66220		
G-43689		
HP0191		
G-14947		
YIL083C		
G-44070		
AT5G40870		
HS00347		
GIO2-442		
G-44471		
YGR019W		
G-10999		
AT5G14950		
HS05232		
G7492		
G-15354		
YER062C		
G-11474		
AT4G25970		
G-17613		
G66-33511	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000335288'>ENST00000335288</a>"	
G-54974		
YDR196C		
AT1G17050		
AT4G09320		
HS10142		
G3O-4104		
G-58261		
YBR263W		
G-11987		
AT3G48170		
AT3G59970		
G3O-33688		
G-18011		
VC1579		
G-12399		
AT3G17810		
G-276		
G3O-32796		
G-9211		
SYNPCC7942_2332		
G-10056		
AT2G44750		
G-9817		
G3O-31576		
G-1322		
SYNPCC7942_2010		
G-10507		
AT2G32010		
G-421		
G3O-30552		
G-14920		
SYNPCC7942_1389		
G-44054		
AT1G73370		
HS00103	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000004468'>ENSG00000004468</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CD38'>CD38</a>"
G3O-29358		
G-10983		
SYNPCC7942_1176		
HS04993	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000126088'>ENSG00000126088</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UROD'>UROD</a>"
AT1G53240		
G-15338		
G18NG-10362		
G-11458		
SYNPCC7942_0696		
G-44458		
AT1G17160		
G-1683		
G185E-6484		
G-547		
SYNPCC7942_0334		
AT1G10830		
G185E-4788		
HS09883	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000169105'>ENSG00000169105</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=D4ST-1'>D4ST-1</a>"
SCO6279		
G-58245		
G-62		
G-11961		
SCO5073		
AT3G52940		
G-15273		
G-17998		
RHA1_RO10133		
G-12383		
EG11445		
G-2722		
MGI:98325		
G-9189		
YPL214C		
G-10040		
CHLREDRAFT_147968		
G-9793		
MGI:1353434		
G-12827		
YOR126C		
G-10487		
BSU38170		
G-405		
HS16664	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000176454'>ENSG00000176454</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC254531'>LOC254531</a>"
G-14899		
YNL280C		
G-44038		
BSU35670		
HS00008		
HS15413	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166183'>ENSG00000166183</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000166183'>ENSG00000166183</a>"
G-10966		
YMR207C		
HS04597	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000122729'>ENSG00000122729</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO1'>ACO1</a>"
BSU32330		
G-15319		
HS13992	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143942'>ENSG00000143942</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000143942'>ENSG00000143942</a>"
G-11435		
YLR450W		
G-44442		
BSU22460		
G-162		
HS13400	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000131873'>ENSG00000131873</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHSY1'>CHSY1</a>"
G-527		
YLR146C		
AT1G05560		
BSU13730		
HS09587	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167594'>ENSG00000167594</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6'>CYP2B6</a>"
HS12134	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000054148'>ENSG00000054148</a>"	
G-11942		
YKL148C		
AT3G44860		
BSU10540		
G-17979		
HP0826		
G-12367		
YJL026W		
G-58232		
AT5G60340		
G-27205		
HP0105		
G-9166		
YIL043C		
G-10018		
AT5G36790		
G-128		
GIO2-1735		
G-10466		
YGL226C-A		
G-388		
AT5G08640		
G-14883		
G7236		
G-9776		
YER001W		
G-44022		
AT4G23100		
GIO2-1786		
G66-32717	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000331772'>ENST00000331772</a>"	
G-10950		
YDR062W		
HS04324	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000119689'>ENSG00000119689</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DLST'>DLST</a>"
AT4G01070		
G-15303		
G3O-34264		
G-11415		
YBR183W		
G-44426		
AT3G29670		
G-16074		
G3O-33521		
G-5181		
VC0780		
AG8		
AT3G09260		
HS09381		
G3O-32654		
G-11925		
SYNPCC7942_2316		
AT3G25110		
AT2G43900		
G-17960		
G3O-31355		
G-12351		
SYNPCC7942_1979		
G-58215		
AT2G24190		
G-27190		
G3O-30324		
G-9126		
SYNPCC7942_1344		
EU1		
AT1G68890		
G-12782		
G3O-29167		
G-10438		
SYNPCC7942_1068		
G-3784		
AT1G47510		
G-14867		
G18NG-10183		
G-9757		
SYNPCC7942_0639		
G-44006		
AT1G05630		
G66-37871		
G185E-6318		
G-10931		
SYNPCC7942_0331		
G-15287		
G185E-4635		
G-11398		
SCO6273		
G-44411		
G-41		
G-16055		
SCO2783		
HS04139	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000117480'>ENSG00000117480</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FAAH'>FAAH</a>"
G-15259		
G-509		
RHA1_RO08166		
HS09121	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164708'>ENSG00000164708</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PGAM2'>PGAM2</a>"
EG11315		
G-11909		
MGI:3027917		
AT3G21070		
YPL087W		
G-17938		
BSU39740		
G-12330		
MGI:1306785		
G-58199		
YOR067C		
G-27172		
BSU38140		
G-91		
HS16266	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000173868'>ENSG00000173868</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PHOSPHO1'>PHOSPHO1</a>"
BSU33240		
YNL202W		
G-12766		
BSU35590		
G-10415		
HS15193	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164398'>ENSG00000164398</a>"	
G-37		
YMR120C		
G-14849		
BSU30230		
G-9728		
HS13887		
G-43990		
YLR328W		
G3O-33268		
BSU15800		
G-10912		
HS13229	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000127125'>ENSG00000127125</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ11838'>FLJ11838</a>"
G-15265		
YLR056W		
G-11381		
BSU13590		
G-44395		
HS12080	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000033100'>ENSG00000033100</a>"	
G-16032		
YKL088W		
HS04039	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000116711'>ENSG00000116711</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4A'>PLA2G4A</a>"
BSU10130		
G-495		
HP0651		
