"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Ensembl"	"GeneCards"
HS03333		69502783	69514666	ENSG00000110719-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110719'>ENSG00000110719</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TCIRG1'>TCIRG1</a>"
HS00728		137799491	137990541	HS00728-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000059377'>ENSG00000059377</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TBXAS1'>TBXAS1</a>"
HS09025		140522230	140611513	ENSG00000164134-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164134'>ENSG00000164134</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TBDN100'>TBDN100</a>"
HS06761		72323863	72334108	HS06761-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT'>TAT</a>"
HS06627		56958693	56962253	HS06627-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000139531'>ENSG00000139531</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUOX'>SUOX</a>"
HS11091		28687891	28693018	HS11091-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A2'>SULT1A2</a>"
HS10493		66888866	67168425	HS10493-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000172340'>ENSG00000172340</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG2'>SUCLG2</a>"
HS08877		84944794	84980536	HS08877-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000163541'>ENSG00000163541</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1'>SUCLG1</a>"
HS06116		42504231	42562902	ENSG00000136143-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000136143'>ENSG00000136143</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2'>SUCLA2</a>"
HS00998		77612854	77631791	HS00998-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000070526'>ENSG00000070526</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ST6GalNAcI'>ST6GalNAcI</a>"
HS00798		97754542	97818101	ENSG00000064225-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000064225'>ENSG00000064225</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ST3GALVI'>ST3GALVI</a>"
HS09614		2207248	2228553	HS09614-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167720'>ENSG00000167720</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SRR'>SRR</a>"
HS00619		31876814	31933127	HS00619-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000049319'>ENSG00000049319</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A2'>SRD5A2</a>"
HS07261		6633456	6669675	HS07261-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000145545'>ENSG00000145545</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A1'>SRD5A1</a>"
HS02256		35700500	35722250	HS02256-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC'>SRC</a>"
HS02117		71790709	71900127	HS02117-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100596'>ENSG00000100596</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC2'>SPTLC2</a>"
HS01673		86522358	86605443	HS01673-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000090054'>ENSG00000090054</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC1'>SPTLC1</a>"
HS03242		24879443	24885852	HS03242-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000109610'>ENSG00000109610</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3'>SOD3</a>"
HS03515		159973710	159987843	HS03515-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000112096'>ENSG00000112096</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2'>SOD2</a>"
HS06899		29692513	29701417	HS06899-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000142168'>ENSG00000142168</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1'>SOD1</a>"
HS01756		17381805	17440150	ENSG00000092068-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000092068'>ENSG00000092068</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A8'>SLC7A8</a>"
HS02450		68678240	68713468	ENSG00000103064-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103064'>ENSG00000103064</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A6'>SLC7A6</a>"
HS02481		88894615	88934080	ENSG00000103257-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103257'>ENSG00000103257</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A5'>SLC7A5</a>"
HS07701		139368495	139446716	ENSG00000151012-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000151012'>ENSG00000151012</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A11'>SLC7A11</a>"
HS09679		64199171	64231940	ENSG00000168003-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000168003'>ENSG00000168003</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2'>SLC3A2</a>"
HS06695		43520394	43574547	HS06695-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000140284'>ENSG00000140284</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A2'>SLC27A2</a>"
HS11293		48129287	48161550	ENSG00000178537-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000178537'>ENSG00000178537</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A20'>SLC25A20</a>"
HS07264		37218368	37250326	ENSG00000145604-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000145604'>ENSG00000145604</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2'>SKP2</a>"
HS03694		134007306	134026911	ENSG00000113558-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000113558'>ENSG00000113558</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP1A'>SKP1A</a>"
HS02092		17177039	17185962	HS02092-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100462'>ENSG00000100462</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SKB1'>SKB1</a>"
HS03904		86360341	86410206	HS03904-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000115525'>ENSG00000115525</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT9'>SIAT9</a>"
HS03456		22355250	22489310	HS03456-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111728'>ENSG00000111728</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT8A'>SIAT8A</a>"
HS06223		122316695	122325831	HS06223-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000136840'>ENSG00000136840</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT7D'>SIAT7D</a>"
HS04994		43173654	43397251	HS04994-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000126091'>ENSG00000126091</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT6'>SIAT6</a>"
HS03285		127738844	127823500	HS03285-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110080'>ENSG00000110080</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT4C'>SIAT4C</a>"
HS08206		70835901	70853544	HS08206-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000157350'>ENSG00000157350</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT4B'>SIAT4B</a>"
HS00250		134558684	134671567	HS00250-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000008513'>ENSG00000008513</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT4A'>SIAT4A</a>"
HS01118		188013615	188053426	HS01118-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000073849'>ENSG00000073849</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT1'>SIAT1</a>"
HS00049				HS00049-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SHMT2'>SHMT2</a>"
HS01069		18231187	18266856	HS11114-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SHMT1'>SHMT1</a>"
HS06616		113379471	113395337	HS06616-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000139410'>ENSG00000139410</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDS-RS1'>SDS-RS1</a>"
HS05952		113349685	113360919	HS05952-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135094'>ENSG00000135094</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDS'>SDS</a>"
HS07690		113469703	113478623	ENSG00000150781-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD'>SDHD</a>"
HS07014		157016432	157065255	HS07014-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143252'>ENSG00000143252</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC'>SDHC</a>"
HS04095		16386002	16421414	ENSG00000117118-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000117118'>ENSG00000117118</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB'>SDHB</a>"
HS01106		250562	288917	ENSG00000073578-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000073578'>ENSG00000073578</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA'>SDHA</a>"
HS03991		52282068	52406302	HS03991-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000116171'>ENSG00000116171</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SCP2'>SCP2</a>"
HS03271		122675928	122691795	HS03271-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SC5DL'>SC5DL</a>"
HS00650		166677141	166692401	HS00650-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000052802'>ENSG00000052802</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SC4MOL'>SC4MOL</a>"
HS03472		116715053	116782318	HS03472-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111817'>ENSG00000111817</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SART2'>SART2</a>"
HS10398		10314237	10322901	HS10398-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171848'>ENSG00000171848</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RRM2'>RRM2</a>"
HS09541		4381870	4425965	HS09541-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167325'>ENSG00000167325</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RRM1'>RRM1</a>"
HS12099		183515884	183554050	ENSG00000043093-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000043093'>ENSG00000043093</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RP42'>RP42</a>"
HS02296		13812554	13850428	HS02296-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000101654'>ENSG00000101654</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNMT'>RNMT</a>"
HS03479		89286698	89640014	HS03479-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111880'>ENSG00000111880</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNGTT'>RNGTT</a>"
HS06069		177972880	177984295	HS06069-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135828'>ENSG00000135828</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEL'>RNASEL</a>"
HS02645		13140163	13147072	HS02645-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000104889'>ENSG00000104889</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2A'>RNASEH2A</a>"
HS06003		56187736	56192028	HS06003-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135437'>ENSG00000135437</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH5'>RDH5</a>"
HS02070		37961933	37978421	ENSG00000100387-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100387'>ENSG00000100387</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1'>RBX1</a>"
HS03012		47678945	47688468	ENSG00000107618-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000107618'>ENSG00000107618</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP3'>RBP3</a>"
HS02508		29690334	29709324	HS02508-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103485'>ENSG00000103485</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=QPRT'>QPRT</a>"
HS07746		17430021	17455711	HS07746-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000151552'>ENSG00000151552</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=QDPR'>QDPR</a>"
HS00949		66195423	66209824	HS00949-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000068976'>ENSG00000068976</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGM'>PYGM</a>"
HS02099		45167914	45207174	HS02099-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100504'>ENSG00000100504</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGL'>PYGL</a>"
HS02178		25176724	25226649	HS02178-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100994'>ENSG00000100994</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGB'>PYGB</a>"
HS00730		96599353	96650033	HS00730-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000059573'>ENSG00000059573</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCS'>PYCS</a>"
HS01115		182068901	182077493	HS01115-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000073756'>ENSG00000073756</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2'>PTGS2</a>"
HS01815		116779785	116804538	HS01815-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000095303'>ENSG00000095303</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1'>PTGS1</a>"
HS04738		47808835	47873128	HS04738-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000124212'>ENSG00000124212</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGIS'>PTGIS</a>"
HS07514		122529502	122537271	HS07514-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148334'>ENSG00000148334</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES2'>PTGES2</a>"
HS07518		124147139	124161855	HS07518-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148344'>ENSG00000148344</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES'>PTGES</a>"
HS02989		131561509	131565680	HS02989-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000107317'>ENSG00000107317</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDS'>PTGDS</a>"
HS07370		56078744	56119268	HS07370-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000146733'>ENSG00000146733</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSPH'>PSPH</a>"
HS05946		80912059	80945009	HS05946-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135069'>ENSG00000135069</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSA'>PSA</a>"
HS05377		6204257	6261711	HS05377-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130377'>ENSG00000130377</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTD-NY3'>PRTD-NY3</a>"
HS02317		12809474	12842346	HS02317-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000101911'>ENSG00000101911</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS2'>PRPS2</a>"
HS07410		106871654	106894256	HS07410-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000147224'>ENSG00000147224</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1'>PRPS1</a>"
HS07011		161136181	161141010	HS07011-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143224'>ENSG00000143224</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPOX'>PPOX</a>"
HS09452		57607552	57614868	HS09452-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166794'>ENSG00000166794</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIB'>PPIB</a>"
HS05157		57221111	57263276	HS05157-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000128059'>ENSG00000128059</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPAT'>PPAT</a>"
HS03105		48499485	48506202	HS03105-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000108439'>ENSG00000108439</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPO'>PNPO</a>"
