HMDB,Compound,Reaction,Reaction Name,MetaCyc Gene,HGNC,Ensembl
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,EG10995,tesB,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,EG11121,yciA,NA
HMDB00060,3-KETOBUTYRATE,6.4.1.6-RXN,acetone + CO<SUB>2</SUB> + ATP + 2 H<sub>2</sub>O  &rarr;  acetoacetate + AMP + 2 phosphate + 3 H<SUP>+</SUP>,G-10115,acxA,NA
HMDB00060,3-KETOBUTYRATE,6.4.1.6-RXN,acetone + CO<SUB>2</SUB> + ATP + 2 H<sub>2</sub>O  &rarr;  acetoacetate + AMP + 2 phosphate + 3 H<SUP>+</SUP>,G-10116,acxB,NA
HMDB00060,3-KETOBUTYRATE,6.4.1.6-RXN,acetone + CO<SUB>2</SUB> + ATP + 2 H<sub>2</sub>O  &rarr;  acetoacetate + AMP + 2 phosphate + 3 H<SUP>+</SUP>,G-10117,acxC,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-TRANSFER-RXN,acetyl-CoA + acetoacetate  &harr;  acetate + acetoacetyl-CoA,EG11670,atoA,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-TRANSFER-RXN,acetyl-CoA + acetoacetate  &harr;  acetate + acetoacetyl-CoA,EG11669,atoD,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-TRANSFER-RXN,acetyl-CoA + acetoacetate  &harr;  acetate + acetoacetyl-CoA,G-106,ctfA,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-TRANSFER-RXN,acetyl-CoA + acetoacetate  &harr;  acetate + acetoacetyl-CoA,G-105,ctfB,NA
HMDB00060,3-KETOBUTYRATE,2.8.3.9-RXN,butanoyl-CoA + acetoacetate  &larr;  butanoate + acetoacetyl-CoA,G-106,ctfA,NA
HMDB00060,3-KETOBUTYRATE,2.8.3.9-RXN,butanoyl-CoA + acetoacetate  &larr;  butanoate + acetoacetyl-CoA,G-105,ctfB,NA
HMDB00060,3-KETOBUTYRATE,RXNI-2,succinyl-CoA + acetoacetate  &harr;  succinate + acetoacetyl-CoA,HS01447,OXCT1,NA
HMDB00060,3-KETOBUTYRATE,RXNI-2,succinyl-CoA + acetoacetate  &harr;  succinate + acetoacetyl-CoA,HP0691,scoA,NA
HMDB00060,3-KETOBUTYRATE,RXNI-2,succinyl-CoA + acetoacetate  &harr;  succinate + acetoacetyl-CoA,HP0692,scoB,NA
HMDB00056,B-ALANINE,HOMOGLUTATHIONE-SYNTHASE-RXN,&beta;-alanine + &gamma;-L-glutamyl-L-cysteine + ATP  &rarr;  homoglutathione + ADP + phosphate + H<SUP>+</SUP>,G-14595,hgshs,NA
HMDB00056,B-ALANINE,PANTOATE-BETA-ALANINE-LIG-RXN,&beta;-alanine + (R)-pantoate + ATP  &rarr;  (<i>R</i>)-pantothenate + AMP + diphosphate + H<SUP>+</SUP>,YIL145C,PAN6,NA
HMDB00056,B-ALANINE,PANTOATE-BETA-ALANINE-LIG-RXN,&beta;-alanine + (R)-pantoate + ATP  &rarr;  (<i>R</i>)-pantothenate + AMP + diphosphate + H<SUP>+</SUP>,G-7143,PANC,NA
HMDB00056,B-ALANINE,PANTOATE-BETA-ALANINE-LIG-RXN,&beta;-alanine + (R)-pantoate + ATP  &rarr;  (<i>R</i>)-pantothenate + AMP + diphosphate + H<SUP>+</SUP>,AT5G48840,PANC,NA
HMDB00056,B-ALANINE,PANTOATE-BETA-ALANINE-LIG-RXN,&beta;-alanine + (R)-pantoate + ATP  &rarr;  (<i>R</i>)-pantothenate + AMP + diphosphate + H<SUP>+</SUP>,EG11746,panC,NA
HMDB00056,B-ALANINE,RXN-2901,&beta;-alanine + 2-oxoglutarate  &harr;  3-oxopropanoate + L-glutamate,HS02477,ABAT,ENSG00000183044
HMDB00056,B-ALANINE,RXN-6461,&beta;-alanine + <i>S</i>-adenosyl-L-methionine  &rarr;  N-methyl-&beta;-alanine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>,G-7281,BANMT1,NA
HMDB00056,B-ALANINE,CARNOSINE-SYNTHASE-RXN,&beta;-alanine + L-histidine + ATP  &rarr;  carnosine + ADP + phosphate + H<SUP>+</SUP>,G-11800,ATPGD1,NA
HMDB00056,B-ALANINE,CARNOSINE-SYNTHASE-RXN,&beta;-alanine + L-histidine + ATP  &rarr;  carnosine + ADP + phosphate + H<SUP>+</SUP>,G66-37895,CARNS1,NA
HMDB00056,B-ALANINE,RXN-10760,&beta;-alanine amide + H<sub>2</sub>O  =  &beta;-alanine + ammonium,G-11461,ramA,NA
HMDB00056,B-ALANINE,RXN0-5201,&beta;-alanine<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &beta;-alanine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>,EG12504,cycA,NA
HMDB00056,B-ALANINE,BETA-ALANOPINE-DEHYDROGENASE-RXN,&beta;-alanopine + NAD<sup>+</sup> + H<sub>2</sub>O  &larr;  pyruvate + &beta;-alanine + NADH + H<SUP>+</SUP>,G-17723,beta-AlDH,NA
HMDB00056,B-ALANINE,RXN-11781,(R)-4-phosphopantoate + &beta;-alanine + ATP  &rarr;  (<i>R</i>)-4'-phosphopantothenate + AMP + diphosphate + H<SUP>+</SUP>,G-12281,TK1686,NA
HMDB00056,B-ALANINE,RXN-6382,3-aminopropanal + NAD(P)<sup>+</sup> + H<sub>2</sub>O  &rarr;  &beta;-alanine + NAD(P)H + 2 H<SUP>+</SUP>,YMR170C,ALD2,NA
HMDB00056,B-ALANINE,RXN-6382,3-aminopropanal + NAD(P)<sup>+</sup> + H<sub>2</sub>O  &rarr;  &beta;-alanine + NAD(P)H + 2 H<SUP>+</SUP>,YMR169C,ALD3,NA
HMDB00056,B-ALANINE,RXN-12332,3-aminopropanal + NAD<sup>+</sup> + H<sub>2</sub>O  =  &beta;-alanine + NADH + 2 H<SUP>+</SUP>,YMR170C,ALD2,NA
HMDB00056,B-ALANINE,RXN-12332,3-aminopropanal + NAD<sup>+</sup> + H<sub>2</sub>O  =  &beta;-alanine + NADH + 2 H<SUP>+</SUP>,YMR169C,ALD3,NA
HMDB00056,B-ALANINE,RXN-12332,3-aminopropanal + NAD<sup>+</sup> + H<sub>2</sub>O  =  &beta;-alanine + NADH + 2 H<SUP>+</SUP>,AT3G48170,ALDH10A9,NA
HMDB00056,B-ALANINE,BETA-UREIDOPROPIONASE-RXN,3-ureidopropanoate + H<sub>2</sub>O + 2 H<SUP>+</SUP>  &rarr;  &beta;-alanine + ammonium + CO<SUB>2</SUB>,AT5G64370,PYD3,NA
HMDB00056,B-ALANINE,BETA-UREIDOPROPIONASE-RXN,3-ureidopropanoate + H<sub>2</sub>O + 2 H<SUP>+</SUP>  &rarr;  &beta;-alanine + ammonium + CO<SUB>2</SUB>,G-11795,pydC,NA
HMDB00056,B-ALANINE,BETA-UREIDOPROPIONASE-RXN,3-ureidopropanoate + H<sub>2</sub>O + 2 H<SUP>+</SUP>  &rarr;  &beta;-alanine + ammonium + CO<SUB>2</SUB>,G-11796,Upb1,NA
HMDB00056,B-ALANINE,BETA-UREIDOPROPIONASE-RXN,3-ureidopropanoate + H<sub>2</sub>O + 2 H<SUP>+</SUP>  &rarr;  &beta;-alanine + ammonium + CO<SUB>2</SUB>,HS01953,UPB1,ENSG00000100024
HMDB00056,B-ALANINE,ASPDECARBOX-RXN,L-aspartate + H<SUP>+</SUP>  &rarr;  &beta;-alanine + CO<SUB>2</SUB>,G-9457,mfnA,NA
HMDB00056,B-ALANINE,ASPDECARBOX-RXN,L-aspartate + H<SUP>+</SUP>  &rarr;  &beta;-alanine + CO<SUB>2</SUB>,EG11747,panD,NA
HMDB00064,CREATINE,CREATINE-KINASE-RXN,creatine + ATP  &harr;  creatine-phosphate + ADP + H<SUP>+</SUP>,HS09344,CKB,NA
HMDB00064,CREATINE,CREATINE-KINASE-RXN,creatine + ATP  &harr;  creatine-phosphate + ADP + H<SUP>+</SUP>,HS02640,CKM,NA
HMDB00064,CREATINE,CREATINE-KINASE-RXN,creatine + ATP  &harr;  creatine-phosphate + ADP + H<SUP>+</SUP>,HS09498,CKMT1A,ENSG00000237289
HMDB00064,CREATINE,CREATINE-KINASE-RXN,creatine + ATP  &harr;  creatine-phosphate + ADP + H<SUP>+</SUP>,HS09820,CKMT1B,NA
HMDB00064,CREATINE,CREATINE-KINASE-RXN,creatine + ATP  &harr;  creatine-phosphate + ADP + H<SUP>+</SUP>,HS05555,CKMT2,NA
HMDB00064,CREATINE,CREATINASE-RXN,creatine + H<sub>2</sub>O  &rarr;  urea + sarcosine,G-8505,creA,NA
HMDB00064,CREATINE,CREATINASE-RXN,creatine + H<sub>2</sub>O  &rarr;  urea + sarcosine,G-8521,creA,NA
HMDB00064,CREATINE,PHOSPHOAMIDASE-RXN,creatine-phosphate<SUB>[periplasm]</SUB> + H<sub>2</sub>O<SUB>[periplasm]</SUB>  &rarr;  creatine<SUB>[periplasm]</SUB> + phosphate<SUB>[periplasm]</SUB>,EG10727,phoA,NA
HMDB00064,CREATINE,CREATININASE-RXN,creatinine + H<sub>2</sub>O  &harr;  creatine,G-8502,crnA,NA
HMDB00064,CREATINE,CREATININASE-RXN,creatinine + H<sub>2</sub>O  &harr;  creatine,G-8504,crnA,NA
HMDB00064,CREATINE,GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN,guanidinoacetate + <i>S</i>-adenosyl-L-methionine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + creatine + H<SUP>+</SUP>,G-5802,Gamt,NA
HMDB00064,CREATINE,GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN,guanidinoacetate + <i>S</i>-adenosyl-L-methionine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + creatine + H<SUP>+</SUP>,HS05327,GAMT,ENSG00000130005
HMDB00092,DIMETHYL-GLYCINE,RXN66-576,"<i>N,N</i>-dimethylglycine + 2 an oxidized electron-transfer flavoprotein + a tetrahydrofolate + 3 H<SUP>+</SUP>  &rarr;  sarcosine + a 5,10-methenyltetrahydrofolate + 2 a reduced electron-transfer flavoprotein",HS05695,DMGDH,ENSG00000132837
HMDB00092,DIMETHYL-GLYCINE,DIMETHYLGLYCINE-DEHYDROGENASE-RXN,"<i>N,N</i>-dimethylglycine + a tetrahydrofolate + an oxidized electron-transfer flavoprotein + H<SUP>+</SUP>  &rarr;  sarcosine + a 5,10-methylene-tetrahydrofolate + a reduced electron-transfer flavoprotein",HS05695,DMGDH,ENSG00000132837
HMDB00092,DIMETHYL-GLYCINE,DIMETHYLGLYCINE-DEHYDROGENASE-RXN,"<i>N,N</i>-dimethylglycine + a tetrahydrofolate + an oxidized electron-transfer flavoprotein + H<SUP>+</SUP>  &rarr;  sarcosine + a 5,10-methylene-tetrahydrofolate + a reduced electron-transfer flavoprotein",G-12426,Dmgdh,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9680,"<i>S</i>-adenosyl-L-methionine + <i>N,N</i>-dimethylglycine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + glycine betaine + H<SUP>+</SUP>",G-6524,AB094498,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9680,"<i>S</i>-adenosyl-L-methionine + <i>N,N</i>-dimethylglycine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + glycine betaine + H<SUP>+</SUP>",G-6502,AF216282,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9680,"<i>S</i>-adenosyl-L-methionine + <i>N,N</i>-dimethylglycine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + glycine betaine + H<SUP>+</SUP>",G-6503,AF216283,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9679,"<i>S</i>-adenosyl-L-methionine + sarcosine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + <i>N,N</i>-dimethylglycine + H<SUP>+</SUP>",G-6521,AB094497,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9679,"<i>S</i>-adenosyl-L-methionine + sarcosine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + <i>N,N</i>-dimethylglycine + H<SUP>+</SUP>",G-6501,AF216281,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9679,"<i>S</i>-adenosyl-L-methionine + sarcosine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + <i>N,N</i>-dimethylglycine + H<SUP>+</SUP>",G-6502,AF216282,NA
HMDB00092,DIMETHYL-GLYCINE,RXN-9679,"<i>S</i>-adenosyl-L-methionine + sarcosine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + <i>N,N</i>-dimethylglycine + H<SUP>+</SUP>",G-6503,AF216283,NA
HMDB00092,DIMETHYL-GLYCINE,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",G-7021,Bhmt,NA
HMDB00092,DIMETHYL-GLYCINE,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",HS07273,BHMT,ENSG00000145692
HMDB00092,DIMETHYL-GLYCINE,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",G-6485,gbt,NA
HMDB00134,FUM,RXN-12070,"(2<i>Z</i>,4<i>E</i>,7<i>E</i>)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate + H<sub>2</sub>O  &rarr;  (2Z)-2-hydroxypenta-2,4-dienoate + fumarate + H<SUP>+</SUP>",M012,mhpC,NA
HMDB00134,FUM,RXN-9929,(<i>S</i>)-dihydroorotate + fumarate  &rarr;  orotate + succinate,G-11045,pyr4,NA
HMDB00134,FUM,RXN-9929,(<i>S</i>)-dihydroorotate + fumarate  &rarr;  orotate + succinate,G-11146,pyrDa,NA
HMDB00134,FUM,RXN-9929,(<i>S</i>)-dihydroorotate + fumarate  &rarr;  orotate + succinate,YKL216W,URA1,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,G-17782,AY296131,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,HS01735,FH,ENSG00000091483
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,AT5G50950,FUM2,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,EG10356,fumA,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,EG10357,fumB,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,G185E-5263,fumC,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,EG10358,fumC,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,G6903,fumD,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,EG11162,fumE,NA
HMDB00134,FUM,FUMHYDR-RXN,(<i>S</i>)-malate  &harr;  fumarate + H<sub>2</sub>O,HP1325,HP1325,NA
HMDB00134,FUM,RXN-10445,3-fumarylpyruvate + H<sub>2</sub>O  &rarr;  fumarate + pyruvate + H<SUP>+</SUP>,G-15154,naaD,NA
HMDB00134,FUM,RXN-10445,3-fumarylpyruvate + H<sub>2</sub>O  &rarr;  fumarate + pyruvate + H<SUP>+</SUP>,G-11274,nagK,NA
HMDB00134,FUM,RXN-15742,4-(&beta;-D-ribofuranosyl)-<i>N</i>-succinylaminobenzene 5'-phosphate  &rarr;  4-(&beta;-D-ribofuranosyl)aminobenzene-5'-phosphate + fumarate,G-34506,MJ0929,NA
HMDB00134,FUM,FUMARYLACETOACETASE-RXN,4-fumaryl-acetoacetate + H<sub>2</sub>O  &rarr;  fumarate + acetoacetate + H<SUP>+</SUP>,HS02536,FAH,ENSG00000103876
HMDB00134,FUM,FUMARYLACETOACETASE-RXN,4-fumaryl-acetoacetate + H<sub>2</sub>O  &rarr;  fumarate + acetoacetate + H<SUP>+</SUP>,G-9329,fahA,NA
HMDB00134,FUM,AICARSYN-RXN,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  &harr;  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,YLR359W,ade13,NA
HMDB00134,FUM,AICARSYN-RXN,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  &harr;  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,HS02059,ADSL,NA
HMDB00134,FUM,AICARSYN-RXN,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  &harr;  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,G-34506,MJ0929,NA
HMDB00134,FUM,AICARSYN-RXN,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  &harr;  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,EG11314,purB,NA
HMDB00134,FUM,RXN-942,<i>m</i>-xylene + fumarate  &rarr;  (3-methylbenzyl)succinate,G-534,bssA,NA
HMDB00134,FUM,RXN-942,<i>m</i>-xylene + fumarate  &rarr;  (3-methylbenzyl)succinate,G-535,bssB,NA
HMDB00134,FUM,RXN-942,<i>m</i>-xylene + fumarate  &rarr;  (3-methylbenzyl)succinate,G-536,bssC,NA
HMDB00134,FUM,AMPSYN-RXN,adenylo-succinate  &harr;  fumarate + AMP,YLR359W,ade13,NA
HMDB00134,FUM,AMPSYN-RXN,adenylo-succinate  &harr;  fumarate + AMP,HS02059,ADSL,NA
HMDB00134,FUM,AMPSYN-RXN,adenylo-succinate  &harr;  fumarate + AMP,G-34506,MJ0929,NA
HMDB00134,FUM,AMPSYN-RXN,adenylo-succinate  &harr;  fumarate + AMP,EG11314,purB,NA
HMDB00134,FUM,RXN-16290,"ATP + fumarate + L-2,3-diaminopropanoate  &rarr;  AMP + <i>N</i>-3-fumaroyl-L-2,3-diaminopropanoate + diphosphate + H<SUP>+</SUP>",G-44180,ddaG,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,HP0192,frdA,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,EG10330,frdA,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,HP0191,frdB,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,EG10331,frdB,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,HP0193,frdC,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,EG10332,frdC,NA
HMDB00134,FUM,R601-RXN,fumarate<SUB>[in]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &harr;  succinate<SUB>[in]</SUB> + a menaquinone<SUB>[membrane]</SUB>,EG10333,frdD,NA
HMDB00134,FUM,RXN-14963,fumarate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinol<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>  &rarr;  succinate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinone<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>,G-17789,AB008568,NA
HMDB00134,FUM,RXN-14963,fumarate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinol<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>  &rarr;  succinate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinone<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>,G-17788,D30650,NA
HMDB00134,FUM,RXN-14963,fumarate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinol<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>  &rarr;  succinate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinone<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>,G-17791,D78157,NA
HMDB00134,FUM,RXN-14963,fumarate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinol<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>  &rarr;  succinate<SUB>[mitochondrial lumen]</SUB> + a rhodoquinone<SUB>[CCO-MIT-IM-SPC-CCO-MIT-LUM]</SUB>,G-17790,D78158,NA
HMDB00134,FUM,TRANS-RXN0-553,fumarate<sub>[periplasm]</sub>  &rarr;  fumarate<sub>[cytosol]</sub>,EG12392,dauA,NA
HMDB00134,FUM,TRANS-RXN-121B,fumarate<sub>[periplasm]</sub> + 2 H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  fumarate<sub>[cytosol]</sub> + 2 H<SUP>+</SUP><sub>[cytosol]</sub>,EG20044,dctA,NA
HMDB00134,FUM,TRANS-RXN-299,fumarate<sub>[periplasm]</sub> + 3 H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  fumarate<sub>[cytosol]</sub> + 3 H<SUP>+</SUP><sub>[cytosol]</sub>,EG11225,dcuA,NA
HMDB00134,FUM,TRANS-RXN-299,fumarate<sub>[periplasm]</sub> + 3 H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  fumarate<sub>[cytosol]</sub> + 3 H<SUP>+</SUP><sub>[cytosol]</sub>,EG10006,dcuB,NA
HMDB00134,FUM,TRANS-RXN-299,fumarate<sub>[periplasm]</sub> + 3 H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  fumarate<sub>[cytosol]</sub> + 3 H<SUP>+</SUP><sub>[cytosol]</sub>,G6347,dcuC,NA
HMDB00134,FUM,ARGSUCCINLYA-RXN,L-arginino-succinate  &harr;  L-arginine + fumarate,YHR018C,ARG4,NA
HMDB00134,FUM,ARGSUCCINLYA-RXN,L-arginino-succinate  &harr;  L-arginine + fumarate,G-295,argH,NA
HMDB00134,FUM,ARGSUCCINLYA-RXN,L-arginino-succinate  &harr;  L-arginine + fumarate,EG11223,argH,NA
HMDB00134,FUM,ARGSUCCINLYA-RXN,L-arginino-succinate  &harr;  L-arginine + fumarate,HS10034,ASL,ENSG00000169910
HMDB00134,FUM,ASPARTASE-RXN,L-aspartate  &rarr;  ammonium + fumarate,EG10095,aspA,NA
HMDB00134,FUM,RXN-9772,L-aspartate + fumarate  &rarr;  2-iminosuccinate + succinate + H<SUP>+</SUP>,EG10631,nadB,NA
HMDB00134,FUM,MALEATE-ISOMERASE-RXN,maleate  &harr;  fumarate,G-11929,maiA,NA
HMDB00134,FUM,MALEATE-ISOMERASE-RXN,maleate  &harr;  fumarate,G-43957,maiA,NA
