pathwayID	Name	Matches
PWY-6290	&beta;-cubebene biosynthesis	RXN-8604
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	"RXN-14572, RXN-15659, GLCNACPTRANS-RXN"
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	"GLUCUROISOM-RXN, BETA-GLUCURONID-RXN, RXN-14693"
PWY-7740	&beta;-D-mannosyl phosphomycoketide biosynthesis	"RXN-17308, RXN-17310, RXN-17309, RXN-17311"
PWY-4961	&beta;-pyrazole-1-ylalanine biosynthesis	"RXN-7441, 2.5.1.51-RXN, RXN-7443, RXN-7442"
PWY-5946	&delta;-carotene biosynthesis	RXN1F-147
PWY-6669	&delta;-guaiene biosynthesis	"RXN-11909, RXN-11527"
PWY-3621	&gamma;-butyrobetaine degradation	"1.14.11.1-RXN, RXN-5881, CARNITINE-3-DEHYDROGENASE-RXN, RXN-5882"
PWY-5748	&gamma;-coniciene and coniine biosynthesis	"RXN-13524, RXN-13525, RXN-8982, RXN-8981, RXN-13526, RXN-8983, RXN-13523, RXN-13527"
PWY-4041	&gamma;-glutamyl cycle	"5-OXOPROLINASE-ATP-HYDROLYSING-RXN, GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN, RXN-6601, GLUTATHIONE-SYN-RXN, RXN-6622, GLUTCYSLIG-RXN"
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	"LINA1-RXN, LINA2-RXN, LINABSPON-RXN, LINB1-RXN, LINBBSPON-RXN, LINB2-RXN, LINC-RXN, LIND-RXN, MALEYLACETATE-REDUCTASE-RXN, RXN-10077, LINE-RXN"
PWY-5998	&gamma;-linolenate biosynthesis I (plants)	RXN-8343
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	"RXN-9673, 1.14.19.3-RXN"
PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)	RXN-16069
PWY-7773	&gamma;-resorcylate degradation I	"RXN-17555, MALEYLACETATE-REDUCTASE-RXN, RXN-10137, R307-RXN"
PWY-7772	&gamma;-resorcylate degradation II	"RXN-17555, MALEYLACETATE-REDUCTASE-RXN, RXN-10137, RXN-17558"
PWY-6822	&iota;-carrageenan degradation	3.2.1.157-RXN
PWY-6821	&kappa;-carrageenan degradation	"3.2.1.83-RXN, RXN-12439, RXN-12436, RXN-12435"
PWY-6817	&lambda;-carrageenan degradation	"3.2.1.162-RXN, RXN-12428"
PWY-7781	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis	"RXN-16853, RXN-16854, RXN-11158, RXN-16868"
PWY-6990	(+)-camphor biosynthesis	"+-BORNEOL-DEHYDROGENASE-RXN, RXN-13046, GERANYL-DIPHOSPHATE-CYCLASE-RXN"
P601-PWY	(+)-camphor degradation	"RXN-13045, R544-RXN, R542-RXN, R543-RXN, R541-RXN, R546-RXN, R545-RXN, R547-RXN"
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis	"RXN-15442, RXN-15443"
PWY-7749	(-)-4'-desmethyl-epipodophyllotoxin biosynthesis	"RXN-17350, RXN-17349, RXN-16344"
PWY-6991	(-)-camphor biosynthesis	"--BORNEOL-DEHYDROGENASE-RXN, RXN-13047, RXN-13002"
PWY-6989	(-)-camphor degradation	"RXN-13045, RXN-13044, RXN-13042, RXN-13041, RXN-13043, R546-RXN, R545-RXN, R547-RXN"
PWY-7557	(-)-dehydrodiconiferyl alcohol degradation	"RXN-15823, RXN-18022, RXN-15822, RXN-15821, RXN-15818, RXN-15819, RXN-15820"
PWY-7556	(-)-microperfuranone biosynthesis	RXN-15813
PWY-5954	"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis"	"RXN-9480, RXN-9482, RXN-9481, RXN-9484, RXN-9483, RXN-9485, RXN-9479, RXN-11624"
PWY-6789	"(1,3)-&beta;-D-xylan degradation"	"3.2.1.32-RXN, 3.2.1.72-RXN"
PWY-6717	"(1,4)-&beta;-xylan degradation"	"RXN-14889, RXN-14890"
PWY-5434	"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis"	"RXN-11575, RXN-8616, RXN-8619, RXN-11911"
PWY-7709	(3<i>R</i>)-linalool biosynthesis	"GPPSYN-RXN, 4.2.3.26-RXN"
PWY-7141	(3<i>S</i>)-linalool biosynthesis	"GPPSYN-RXN, 4.2.3.25-RXN"
PWY-5922	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation	"RXN-9427, RXN-9403, RXN-9391, RXN-9433, RXN-9435, RXN-9392, RXN-9434, RXN-9404, RXN-9400, RXN-9424, RXN-9406, RXN-9405, RXN-9436, RXN-9394"
PWY-5928	(4<i>R</i>)-carvone biosynthesis	"CARVEOL-DEHYDROGENASE-RXN, --LIMONENE-6-MONOOXYGENASE-RXN, 4.2.3.16-RXN"
PWY-5927	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation	"RXN-9397, RXN-9429, RXN-9431, RXN-9426, RXN-9428, RXN-9419, RXN-9420, RXN-9430, RXN-9425, RXN-9423, RXN-9422, RXN-9432, RXN-9401, RXN-9421"
PWY-7443	(4S)-carvone biosynthesis	"RXN-9397, RXN-10746, 4.2.3.20-RXN"
PWY-7726	"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)"	"RXN-16113, RXN-16112, RXN-17110, RXN-17109, RXN-17114, RXN-17115, RXN-17116, RXN-17113, RXN-17112, RXN-17111, RXN-16114, RXN-16081, RXN-16079"
PWY-7728	"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)"	"RXN-16113, RXN-16112, RXN-17118, RXN-16114, RXN-16079"
PWY-5737	(5<i>R</i>)-carbapenem carboxylate biosynthesis	"RXN-8948, RXN-8952, RXN-8950, RXN-8949, RXN-8947, RXN-14903"
PWY-5361	(5<i>Z</i>)-icosenoate biosynthesis	RXN-8372
PWY0-862	(5Z)-dodec-5-enoate biosynthesis I	"5.3.3.14-RXN, RXN-9655, RXN0-2144, RXN0-2142, RXN0-2141, RXN0-2145"
PWY-7858	(5Z)-dodec-5-enoate biosynthesis II	"5.3.3.14-RXN, RXN0-2144, RXN0-2142, RXN0-2141, RXN0-2145, RXN-18461"
PWY-7590	"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis"	"RXN-16047, RXN-16049, RXN-16048"
PWY-7654	"(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis"	"RXN-16543, RXN-16542, RXN-14272, RXN-14271, RXN-14273, RXN-12507, 2.3.1.155-RXN, RXN-16541, RXN-14268, RXN-14131, RXN-16540"
PWY-6668	"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"	"RXN-8620, RXN-10441"
PWY-5951	"(<i>R,R</i>)-butanediol biosynthesis"	RR-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-7522	(<i>R</i>)-canadine biosynthesis	"RXN-15641, RXN-15640"
PWY-6642	(<i>R</i>)-cysteate degradation	"RXN-11691, R230-RXN, RXN-11737"
PWY-6390	"(<i>S,S</i>)-butanediol biosynthesis"	SS-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-3581	(<i>S</i>)-reticuline biosynthesis I	"1.14.13.71-RXN, 2.1.1.140-RXN, 2.1.1.128-RXN, RXN-5861, 2.1.1.116-RXN, 4.1.1.80-RXN, S-NORLAUDANOSOLINE-SYNTHASE-RXN, RXN66-221, TYROSINE-AMINOTRANSFERASE-RXN, TYROSINE-DECARBOXYLASE-RXN, RXN-9978"
PWY-7035	(<i>Z</i>)-9-tricosene biosynthesis	"RXN-13288, RXN-13289"
PWY-6900	(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	"RXN-12633, RXN-12632"
PWY-6539	(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	"RXN-11525, RXN-8899, RXN-11524, RXN-11526"
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I	"LAUROYLACYLTRAN-RXN, MYRISTOYLACYLTRAN-RXN"
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	"RXN-14255, RXN-5901, RXN-14251, RXN-11662, ACETYL-COA-ACETYLTRANSFER-RXN"
PWY3O-246	"(R,R)-butanediol degradation"	RR-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-6133	(S)-reticuline biosynthesis II	"RXN-5861, RXN-9979, RXN-9980, 2.6.1.49-RXN, TYROSINE-DECARBOXYLASE-RXN, RXN-9981, RXN-9978"
PWY-6388	"(S,S)-butanediol degradation"	SS-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-6099	"1,2,4,5-tetrachlorobenzene degradation"	"RXN-9876, RXN-9875"
PWY-6091	"1,2,4-trichlorobenzene degradation"	"RXN-9880, RXN-9877"
PWY-6090	"1,2-dichlorobenzene degradation"	"RXN-9879, RXN-9878"
12DICHLORETHDEG-PWY	"1,2-dichloroethane degradation"	"DHLAXANAU-RXN, MOXXANAU-RXN, ALDXANAU-RXN, DHLBXANAU-RXN"
PWY-7541	"1,2-propanediol biosynthesis from lactate (engineered)"	"RXN-15729, RXN-15744, RXN-15728, RXN-15743, RXN-15723, RXN-15724"
PWY-5765	"1,3,5-trimethoxybenzene biosynthesis"	"RXN-9021, RXN-9022, RXN-9020"
PWY-6773	"1,3-&beta;-D-glucan biosynthesis"	13-BETA-GLUCAN-SYNTHASE-RXN
PWY-6081	"1,3-dichlorobenzene degradation"	"RXN-9854, RXN-9853"
PWY-7385	"1,3-propanediol biosynthesis (engineered)"	"RXN0-6487, RXN-14965, 1.1.1.8-RXN, 6PFRUCTPHOS-RXN, GLUCOKIN-RXN, PGLUCISOM-RXN, RXN0-7077, F16ALDOLASE-RXN, GLYCEROL-DEHYDRATASE-RXN"
14DICHLORBENZDEG-PWY	"1,4-dichlorobenzene degradation"	"CHLOROBENDDH-RXN, DIOXYXANFL-RXN, RXN-18360, RXN-18361, DIENELACHYDRO-RXN, CHLOROCATDIOXY-RXN, MALEYLACETATE-REDUCTASE-RXN, RXN-18362, CHLOROMALERED-RXN"
PWY-5837	"1,4-dihydroxy-2-naphthoate biosynthesis"	"O-SUCCINYLBENZOATE-COA-SYN-RXN, RXN-9311, RXN-9310, O-SUCCINYLBENZOATE-COA-LIG-RXN, NAPHTHOATE-SYN-RXN, ISOCHORSYN-RXN, 2.5.1.64-RXN"
PWY-7374	"1,4-dihydroxy-6-naphthoate biosynthesis I"	"RXN-15264, RXN-14910, RXN-12345, RXN-10622, RXN-10620, RXN-9780"
PWY-7371	"1,4-dihydroxy-6-naphthoate biosynthesis II"	"RXN-15264, RXN-12346, RXN-12345, RXN-10622, RXN-10620"
PWY-6992	"1,5-anhydrofructose degradation"	"RXN-13064, 1.1.1.292-RXN, PGLUCISOM-RXN, MANNKIN-RXN, MANNPISOM-RXN"
6-HYDROXYCINEOLE-DEGRADATION-PWY	"1,8-cineole degradation"	"C04718-C060066-AUTOTRANSFORMATION-RXN, RXN-4342, 6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN, 6-OXOCINEOLE-DEHYDROGENASE-RXN"
PWY-6886	1-butanol autotrophic biosynthesis (engineered)	"RXN-11667, RXN-11662, RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN, PSII-RXN, 1.18.1.2-RXN, ACETYL-COA-ACETYLTRANSFER-RXN, PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN, 3PGAREARR-RXN, 2PGADEHYDRAT-RXN, PHOSGLYPHOS-RXN, RXN-15479, BUTANAL-DEHYDROGENASE-RXN, RXN-161, RXN-12558, 2TRANSKETO-RXN, TRIOSEPISOMERIZATION-RXN, 1.2.1.13-RXN, RIB5PISOM-RXN, RIBULP3EPIM-RXN, PHOSPHORIBULOKINASE-RXN, 1TRANSKETO-RXN, SEDOHEPTULOSE-BISPHOSPHATASE-RXN, F16ALDOLASE-RXN, F16BDEPHOS-RXN, SEDOBISALDOL-RXN, PEPDEPHOS-RXN, PYRUVDEH-RXN"
PWY-7681	1-chloro-2-nitrobenzene degradation	RXN-16792
PWY-7691	"10,13-epoxy-11-methyl-octadecadienoate biosynthesis"	"RXN-16881, RXN-16880"
PWY-7337	10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	"RXN-14772, RXN-14773, RXN-14780, RXN-14778, RXN-14779, RXN-14770, RXN-14776, RXN-14777, RXN-14781, RXN-14775, RXN-14774, RXN-14771"
PWY-7339	"10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)"	"RXN-14791, RXN-14792, RXN-14794, RXN-14780, RXN-14781, RXN-14793"
PWY-7338	"10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"	"RXN-14786, RXN-14787, RXN-14780, RXN-14778, RXN-14779, RXN-14784, RXN-14790, RXN-14777, RXN-14781, RXN-14789, RXN-14788, RXN-14785"
PWY-7043	11-<i>cis</i>-3-hydroxyretinal biosynthesis	"RXN-13366, RXN-13358, RXN-13361, RXN-13359, RXN-13356, RXN-13357, RXN-13355"
PWY-6361	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)"	"RXN-7184, 2.7.1.127-RXN, 2.7.1.151-RXN, RXN-7162, RXN-7163"
PWY-6362	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	"2.7.1.133-RXN, RXN-8730, 2.7.1.140-RXN, 2.7.1.127-RXN, RXN-7163"
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	"RXN-7202, MYO-INOSITOL-1-KINASE-RXN, RXN-7203, 2.7.1.134-RXN, RXN-7204, RXN-7163, MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN"
PWY-6372	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)	"RXN-10982, MYO-INOSITOL-1-KINASE-RXN, 2.7.1.140-RXN, RXN-10984, RXN-10983, RXN-7163, MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN"
PWY-6554	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"	"2.7.1.139-RXN, 2.7.1.133-RXN, RXN-7184, 2.7.1.140-RXN, RXN-7163"
PWY-7065	"2&alpha;,7&beta;-dihydroxylation of taxusin"	"RXN-13488, RXN-13487, RXN-13486, RXN-12885"
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	"D-PPENTOMUT-RXN, DEOXYRIBOSE-P-ALD-RXN, ACETALD-DEHYDROG-RXN"
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis	"1.1.1.285-RXN, 2.5.1.43-RXN, S-ADENMETSYN-RXN, 2.6.1.80-RXN"
PWY-7009	"2,2'-dihydroxybiphenyl degradation"	"RXN-13171, R608-RXN, RXN-13170, RXN-13169, R607-RXN, RXN-13150, RXN-13172, PYROGALLOL-12-OXYGENASE-RXN"
PWY-7637	"2,2'-dihydroxyketocarotenoids biosynthesis"	"RXN-16440, RXN-16437, RXN-16443, RXN-16436, RXN-16439, RXN-16442"
PWY-6035	"2,3-<i>cis</i>-flavanols biosynthesis"	"RXN-9724, RXN-9725, RXN-9723"
PWY-6029	"2,3-<i>trans</i>-flavanols biosynthesis"	"RXN-1481, RXN-1484, RXN-9720"
PWY-5901	"2,3-dihydroxybenzoate biosynthesis"	"DHBDEHYD-RXN, ISOCHORSYN-RXN, ISOCHORMAT-RXN"
PWY-7480	"2,3-dihydroxybenzoate degradation"	"RXN-8529, RXN-8527, 4.1.1.77-RXN, 1.13.11.14-RXN, RXN-15423"
PWY-6200	"2,4,5-trichlorophenoxyacetate degradation"	"RXN-10133, RXN-10134, RXN-12312, RXN-10135, 1.6.5.7-RXN, MALEYLACETATE-REDUCTASE-RXN, RXN-10136, RXN-12313, RXN-10137"
PWY-6178	"2,4,6-trichlorophenol degradation"	"RXN-10074, RXN-10076, MALEYLACETATE-REDUCTASE-RXN, RXN-18362, CHLOROMALERED-RXN, RXN-10075"
PWY-7627	"2,4,6-trinitrophenol and 2,4-dinitrophenol degradation"	"RXN-16309, RXN-16304, RXN-16305, RXN-16311, RXN-16306, RXN-16310, RXN-16308"
PWY-6051	"2,4,6-trinitrotoluene degradation"	"RXN-9741, RXN-9746, RXN-9744, RXN-9742, RXN-9750, RXN-9747, RXN-9745, RXN-9752, RXN-9743, RXN-9751, RXN-9749, RXN-9748"
PWY-6085	"2,4-dichlorophenoxyacetate  degradation"	"24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN, RXN-9863"
PWY-6190	"2,4-dichlorotoluene degradation"	"RXN-10093, RXN-10090, RXN-10100, RXN-17090, RXN-10106, RXN-10099, RXN-10101, RXN-10107, RXN-10096"
PWY-7628	"2,4-dinitroanisole degradation"	RXN-16303
PWY-5642	"2,4-dinitrotoluene degradation"	"RXN-8823, RXN-17165, RXN-8820, RXN-8822, RXN-8824, RXN-8821, 1.2.1.27-RXN"
PWY-7703	"2,4-xylenol degradation to protocatechuate"	"RXN-16967, RXN-16973, RXN-16972, RXN-16970, RXN-16971, RXN-16968, RXN-16974"
PWY-6191	"2,5-dichlorotoluene degradation"	"RXN-10094, RXN-10102, RXN-10091, RXN-10108, RXN-10105, RXN-17087, RXN-10097"
PWY-7698	"2,5-xylenol and 3,5-xylenol degradation"	"RXN-16946, RXN-16948, R-2-METHYLMALATE-DEHYDRATASE-RXN, RXN-16951, RXN-16952, RXN-16954, RXN-16949, RXN-16955, RXN-16950, RXN-16956, RXN-16945, RXN-16947, RXN-16953"
PWY-5643	"2,6-dinitrotoluene degradation"	"RXN-8825, RXN-8827, RXN-8826"
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	"RXN0-5216, GKI-RXN"
PWY-7460	2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	"RXN-15359, RXN-15360"
PWY-7467	"2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis"	"RXN-15376, RXN-15377, RXN-13252"
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	"1.2.1.32-RXN, 3.5.99.5-RXN, 4.1.1.77-RXN, AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN"
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	"1.2.1.32-RXN, 3.5.99.5-RXN, 2-KETO-ADIPATE-DEHYDROG-RXN, 2-AMINOMUCONATE-REDUCTASE-RXN, AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN"
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis	"RXN-15714, RXN-15715, RXN-15716, 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN"
PWY-6839	2-aminoethylphosphonate biosynthesis	"4.1.1.82-RXN, PHOSPHOENOLPYRUVATE-MUTASE-RXN, RXN-12524"
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I	"ACETALD-DEHYDROG-RXN, PHOSPHONOACETALDEHYDE-HYDROLASE-RXN, 2.6.1.37-RXN"
PWY-6832	2-aminoethylphosphonate degradation II	"RXN-12513, 2.6.1.37-RXN"
PWY-7447	2-aminoethylphosphonate degradation III	"RXN-15310, RXN-15311"
PWY-6210	2-aminophenol degradation	"1.2.1.32-RXN, 3.5.99.5-RXN, 4.1.1.77-RXN, RXN-8818"
PWY-7425	2-chloroacrylate degradation I	"DLACTDEHYDROGFAD-RXN, RXN-15138, RXN-14536"
PWY-7428	2-chloroacrylate degradation II	"RXN-15142, RXN-15141"
PWY-6221	2-chlorobenzoate degradation	2-CHLOROBENZOATE-12-DIOXYGENASE-RXN
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	"RXN-17705, RXN-17707, RXN-17703, RXN-11849, RXN-17702, AMINOBENZCOALIG-RXN, RXN-17709, ANTHRANSYN-RXN, RXN-17708"
PWY-7008	2-hydroxybiphenyl degradation	"3.7.1.8-RXN, RXN-13319, 2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN, BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN"
PWY-5776	2-hydroxyphenazine biosynthesis	"RXN-9066, RXN-9065"
PWY-7011	2-isopropylphenol degradation	"RXN-668, RXN-13152, RXN-13155"
PWY-5782	2-keto-L-gulonate biosynthesis	"RXN-8782, D-SORBITOL-DEHYDROGENASE-RXN, RXN-8779, RXN-9069"
PWY0-42	2-methylcitrate cycle I	"4.2.1.99-RXN, METHYLISOCITRATE-LYASE-RXN, 2-METHYLCITRATE-DEHYDRATASE-RXN, PROPIONATE--COA-LIGASE-RXN, 2-METHYLCITRATE-SYNTHASE-RXN"
PWY-5747	2-methylcitrate cycle II	"4.2.1.99-RXN, METHYLISOCITRATE-LYASE-RXN, RXN-8979, RXN-8977, PROPIONATE--COA-LIGASE-RXN, 2-METHYLCITRATE-SYNTHASE-RXN"
PWY-7087	2-methylisoborneol biosynthesis	"RXN-12976, RXN-12975"
PWY-6585	2-methylketone biosynthesis	"3-OXOLAURATE-DECARBOXYLASE-RXN, RXN-11669, RXN-15283, RXN-15281, RXN-15280, RXN-15282"
PWY-7778	2-methylpropene degradation	"RXN-11662, RXN-17589, ACETYL-COA-ACETYLTRANSFER-RXN, RXN-17603, RXN-17605, RXN-17588, RXN-17602, RXN-17606"
PWY-5647	2-nitrobenzoate degradation I	"1.2.1.32-RXN, 3.5.99.5-RXN, 4.1.1.77-RXN, RXN-8846, RXN-8847, 1.13.11.6-RXN, AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN"
PWY-5648	2-nitrobenzoate degradation II	"RXN-8848, RXN-8847, 1.14.12.1-RXN"
PWY-5636	2-nitrophenol degradation	2-NITROPHENOL-2-MONOOXYGENASE-RXN
PWY-5641	2-nitrotoluene degradation	"RXN-8819, CATECHOL-2-3-DIOXYGENASE-RXN, 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN"
PWY-5130	2-oxobutanoate degradation I	"METHYLMALONYL-COA-EPIM-RXN, METHYLMALONYL-COA-MUT-RXN, RXN-7790, PROPIONYL-COA-CARBOXY-RXN"
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	"2-OXOBUTYRATE-SYNTHASE-RXN, RXN-7938"
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	"2OXOGLUTDECARB-RXN, RXN-7716, RXN0-1147"
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	"1.2.4.4-RXN, RXN-7719, 2.3.1.168-RXN"
PWY-5162	2-oxopentenoate degradation	"2-OXOPENT-4-ENOATE-HYDRATASE-RXN, MHPELY-RXN, ACETALD-DEHYDROG-RXN"
PWY-7010	2-propylphenol degradation	"RXN-13157, RXN-13151, RXN-13154"
PWY-7497	3&beta;-hydroxysesquiterpene lactone biosynthesis	"RXN-15533, RXN-15531, RXN-15532"
PWY-7462	"3,3'-dithiodipropanoate degradation"	"RXN-15365, RXN-15364, RXN-15362, RXN-15363"
PWY-7465	"3,3'-thiodipropanoate degradation"	"RXN-15370, RXN-15364, RXN-15362, RXN-15375"
PWY-6094	"3,4,6-trichlorocatechol degradation"	"RXN-18365, RXN-9885, RXN-18364, RXN-9889, RXN-18363, RXN-9891, RXN-9890, RXN-17093, RXN-9888, MALEYLACETATE-REDUCTASE-RXN"
PWY-6217	"3,4-dichlorobenzoate degradation"	"RXN-10427, RXN-10428, RXN-10425, RXN-10426"
PWY-6192	"3,4-dichlorotoluene degradation"	"RXN-10095, RXN-10103, RXN-17088, RXN-10098, RXN-10092, RXN-10104"
PWY-7095	"3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis"	RXN-13598
PWY-7512	"3,5,6-trichloro-2-pyridinol degradation"	"RXN-15569, RXN-15576"
PWY-6084	"3,5-dichlorocatechol degradation"	"RXN-9856, RXN-16227, 5.2.1.10-RXN, RXN-9857, RXN-9855, MALEYLACETATE-REDUCTASE-RXN, RXN-18362, CHLOROMALERED-RXN"
PWY-7076	"3,5-dimethoxytoluene biosynthesis"	"RXN-9018, RXN-9017"
PWY-7562	"3,6-anhydro-&alpha;-L-galactopyranose degradation"	"DEOXYGLUCONOKIN-RXN, 1.1.1.127-RXN, KDPGALDOL-RXN, RXN-16964, RXN-15999, RXN-15892, RXN-15893"
CHLOROPHYLL-SYN	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"	"RXN-5283, RXN-5284, RXN-5285, RXN1F-20, RXN0-1461, RXN-5282, RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN, PROTOPORGENOXI-RXN, UROGENDECARBOX-RXN"
PWY-5531	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)"	"RXN-8798, RXN-8799, RXN-17485, RXN1F-20, HEMN-RXN, RXN-8797, RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN, RXN0-6259, UROGENDECARBOX-RXN"
