pathwayID	Name	Matches
PWY-5748	&gamma;-coniciene and coniine biosynthesis	"&gamma;-coniceine + a reduced electron acceptor + oxygen  &rarr;  5-hydroxy-&gamma;-coniceine + an oxidized electron acceptor + H<sub>2</sub>O + H<SUP>+</SUP>, &gamma;-coniceine + a reduced electron acceptor + oxygen  &rarr;  conhydrinone + an oxidized electron acceptor + H<sub>2</sub>O, &gamma;-coniceine + NADPH + H<SUP>+</SUP>  &rarr;  coniine + NADP<sup>+</sup>, 8-aminooctan-4-one  &rarr;  &gamma;-coniceine + H<sub>2</sub>O, conhydrine + an oxidized electron acceptor  &larr;  conhydrinone + a reduced electron acceptor, coniine + <i>S</i>-adenosyl-L-methionine  &rarr;  methylconiine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, L-alanine + 5-oxooctanal  &harr;  8-aminooctan-4-one + pyruvate, pseudo-conhydrine + an oxidized electron acceptor  &larr;  5-hydroxy-&gamma;-coniceine + a reduced electron acceptor + H<SUP>+</SUP>"
PWY-4041	&gamma;-glutamyl cycle	"5-oxo-L-proline + ATP + 2 H<sub>2</sub>O  &rarr;  L-glutamate + ADP + phosphate + H<SUP>+</SUP>, an (&gamma;-L-glutamyl)-L-amino acid  &rarr;  an L-amino acid + 5-oxo-L-proline, glutathione + a proteinogenic amino acid  &rarr;  an (&gamma;-L-glutamyl)-L-amino acid + L-cysteinyl-glycine, glycine + &gamma;-L-glutamyl-L-cysteine + ATP  &rarr;  glutathione + ADP + phosphate + H<SUP>+</SUP>, L-cysteinyl-glycine + H<sub>2</sub>O  &rarr;  L-cysteine + glycine, L-glutamate + L-cysteine + ATP  &rarr;  &gamma;-L-glutamyl-L-cysteine + ADP + phosphate + H<SUP>+</SUP>"
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	"&gamma;-hexachlorocyclohexane  &harr;  &gamma;-pentachlorocyclohexene + chloride + H<SUP>+</SUP>, &gamma;-pentachlorocyclohexene  &rarr;  1,3,4,6-tetrachloro-1,4-cyclohexadiene + chloride + H<SUP>+</SUP>, 1,3,4,6-tetrachloro-1,4-cyclohexadiene  &rarr;  chloride + 1,2,4-trichlorobenzene + H<SUP>+</SUP>, 1,3,4,6-tetrachloro-1,4-cyclohexadiene + H<sub>2</sub>O  &harr;  2,4,5-trichloro-2,5-cyclohexadiene-1-diol + chloride + H<SUP>+</SUP>, 2,4,5-trichloro-2,5-cyclohexadiene-1-diol  &rarr;  2,5-dichlorophenol + chloride + 2 H<SUP>+</SUP>, 2,4,5-trichloro-2,5-cyclohexadiene-1-diol + H<sub>2</sub>O  &rarr;  2,5-dichloro-2,5-cyclohexadiene-1,4-diol + chloride + H<SUP>+</SUP>, 2,5-dichloro-2,5-cyclohexadiene-1,4-diol + NAD<sup>+</sup>  &harr;  2,5-dichloro-<i>p</i>-quinol + NADH + H<SUP>+</SUP>, 2,5-dichloro-<i>p</i>-quinol + 2 glutathione  &harr;  chlorohydroquinone + glutathione disulfide + chloride + H<SUP>+</SUP>, 3-oxoadipate + NAD(P)<sup>+</sup>  &larr;  2-maleylacetate + NAD(P)H + H<SUP>+</SUP>, 5-chlorocarbonyl-4-hydroxy-penta-2,4-dienate + H<sub>2</sub>O  &rarr;  2-maleylacetate + chloride + H<SUP>+</SUP>, chlorohydroquinone + oxygen  &rarr;  5-chlorocarbonyl-4-hydroxy-penta-2,4-dienate + 2 H<SUP>+</SUP>"
PWY-5998	&gamma;-linolenate biosynthesis I (plants)	a [glycerolipid]-linoleate + 2 a reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H<SUP>+</SUP>  &rarr;  a [glycerolipid]-&gamma;-linolenate + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H<sub>2</sub>O
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	"linoleate + ATP + coenzyme A  &rarr;  linoleoyl-CoA + AMP + diphosphate, linoleoyl-CoA + 2 a ferrocytochrome <i>b<SUB>5</SUB></i> + oxygen + 2 H<SUP>+</SUP>  &rarr;  &gamma;-linolenoyl-CoA + 2 a ferricytochrome <i>b<sub>5</sub></i> + 2 H<sub>2</sub>O"
PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)	a 1-linoleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H<SUP>+</SUP>  &rarr;  a 1-&gamma;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H<sub>2</sub>O
PWY-7773	&gamma;-resorcylate degradation I	"&gamma;-resorcylate + H<SUP>+</SUP>  &harr;  resorcinol + CO<SUB>2</SUB>, 3-oxoadipate + NAD(P)<sup>+</sup>  &larr;  2-maleylacetate + NAD(P)H + H<SUP>+</SUP>, hydroxyquinol + oxygen  &rarr;  2-maleylacetate + 2 H<SUP>+</SUP>, resorcinol + FADH<SUB>2</SUB> + oxygen  &rarr;  hydroxyquinol + FAD + H<sub>2</sub>O + H<SUP>+</SUP>"
PWY-7772	&gamma;-resorcylate degradation II	"&gamma;-resorcylate + H<SUP>+</SUP>  &harr;  resorcinol + CO<SUB>2</SUB>, 3-oxoadipate + NAD(P)<sup>+</sup>  &larr;  2-maleylacetate + NAD(P)H + H<SUP>+</SUP>, hydroxyquinol + oxygen  &rarr;  2-maleylacetate + 2 H<SUP>+</SUP>, resorcinol + NADH + oxygen + H<SUP>+</SUP>  &rarr;  hydroxyquinol + NAD<sup>+</sup> + H<sub>2</sub>O"
PWY-6822	&iota;-carrageenan degradation	&iota;-carrageenose + n H<sub>2</sub>O  &rarr;  n &iota;-neocarratetraose sulfate + n &iota;-neocarrahexaose sulfate
PWY-6821	&kappa;-carrageenan degradation	"&kappa;-carrageenose + n H<sub>2</sub>O  &rarr;  n neocarrabiose sulfate + n neocarratetraose 4-<i>O</i>-disulfate, neocarrabiose sulfate + H<sub>2</sub>O  &rarr;  neocarrabiose + sulfate + H<SUP>+</SUP>, neocarratetraose 4-<i>O</i>-disulfate + H<sub>2</sub>O  &rarr;  neocarratetraose 4-<i>O</i>-sulfate + sulfate + H<SUP>+</SUP>, neocarratetraose 4-<i>O</i>-sulfate + H<sub>2</sub>O  &rarr;  neocarrabiose sulfate + neocarrabiose"
PWY-6817	&lambda;-carrageenan degradation	"&lambda;-carrageenan + n H<sub>2</sub>O  &rarr;  n neo-&lambda;-carrahexaose + n neo-&lambda;-carratetraose, neo-&lambda;-carrahexaose + H<sub>2</sub>O  &rarr;  neo-&lambda;-carratetraose + neo-&lambda;-carrabiose"
PWY-7781	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis	"2 a reduced ferredoxin [iron-sulfur] cluster + &beta;-dihydromenaquinone-9 + oxygen + 2 H<SUP>+</SUP>  &rarr;  2 an oxidized ferredoxin [iron-sulfur] cluster + &omega;-hydroxy-&beta;-dihydromenaquinone-9 + H<sub>2</sub>O, 3'-phosphoadenylyl-sulfate + &omega;-hydroxy-&beta;-dihydromenaquinone-9  &rarr;  adenosine 3',5'-bisphosphate + &omega;-sulfo-&beta;-dihydromenaquinone-9 + H<SUP>+</SUP>, menaquinol-<i>9</i> + an oxidized electron acceptor  &rarr;  menaquinone-<i>9</i> + a reduced electron acceptor, menaquinone-<i>9</i> + a reduced electron acceptor  &rarr;  &beta;-dihydromenaquinone-9 + an oxidized electron acceptor"
PWY-6990	(+)-camphor biosynthesis	"(+)-borneol + NAD<sup>+</sup>  &harr;  (+)-camphor + NADH + H<SUP>+</SUP>, (+)-bornyl-diphosphate + H<sub>2</sub>O  &rarr;  (+)-borneol + diphosphate, geranyl diphosphate  &rarr;  (+)-bornyl-diphosphate"
P601-PWY	(+)-camphor degradation	"&Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA + 3 coenzyme A + an oxidized electron acceptor + H<sub>2</sub>O + H<SUP>+</SUP>  &rarr;  isobutanoyl-CoA + 3 acetyl-CoA + a reduced electron acceptor, (+)-5-oxo-1,2-campholide  &rarr;  [(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate + H<SUP>+</SUP>, (+)-<i>exo</i>-5-hydroxycamphor + NAD<sup>+</sup>  &rarr;  (+)-bornane-2,5-dione + NADH + H<SUP>+</SUP>, (+)-bornane-2,5-dione + NADH + H<SUP>+</SUP> + oxygen  &rarr;  (+)-5-oxo-1,2-campholide + NAD<sup>+</sup> + H<sub>2</sub>O, (+)-camphor + a reduced putidaredoxin + oxygen  &rarr;  (+)-<i>exo</i>-5-hydroxycamphor + an oxidized putidaredoxin + H<sub>2</sub>O, [(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  [(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA + NADP<sup>+</sup> + H<sub>2</sub>O, [(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate + ATP + coenzyme A  &rarr;  [(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA + AMP + diphosphate, [(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA  &rarr;  &Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA + H<SUP>+</SUP>"
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis	"(+)-secoisolariciresinol + UDP-&alpha;-D-glucose  &rarr;  (+)-secoisolariciresinol monoglucoside + UDP + H<SUP>+</SUP>, (+)-secoisolariciresinol monoglucoside + UDP-&alpha;-D-glucose  &rarr;  (+)-secoisolariciresinol diglucoside + UDP + H<SUP>+</SUP>"
PWY-7749	(-)-4'-desmethyl-epipodophyllotoxin biosynthesis	"(-)-4'-demethyl-deoxypodophyllotoxin + NADPH + oxygen + H<SUP>+</SUP>  &rarr;  (-)-4'-demethyl-epipodophyllotoxin + NADP<sup>+</sup> + H<sub>2</sub>O, (-)-deoxypodophyllotoxin + 2 NADPH + oxygen + 2 H<SUP>+</SUP>  &rarr;  (-)-4'-demethyl-deoxypodophyllotoxin + methanol + 2 NADP<sup>+</sup> + H<sub>2</sub>O, (-)-yatein + 2-oxoglutarate + oxygen  &rarr;  (-)-deoxypodophyllotoxin + succinate + CO<SUB>2</SUB> + H<sub>2</sub>O"
PWY-6991	(-)-camphor biosynthesis	"(-)-borneol + NAD<sup>+</sup>  &rarr;  (-)-camphor + NADH + H<SUP>+</SUP>, (-)-bornyl-diphosphate + H<sub>2</sub>O  &rarr;  (-)-borneol + diphosphate, geranyl diphosphate  &rarr;  (-)-bornyl-diphosphate"
PWY-6989	(-)-camphor degradation	"&Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA + 3 coenzyme A + an oxidized electron acceptor + H<sub>2</sub>O + H<SUP>+</SUP>  &rarr;  isobutanoyl-CoA + 3 acetyl-CoA + a reduced electron acceptor, (-)-5-oxo-1,2-campholide  &rarr;  [(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate + H<SUP>+</SUP>, (-)-<I>exo</I>-3-hydroxycamphor + NAD<sup>+</sup>  &rarr;  3,6-diketocamphane + NADH + H<SUP>+</SUP>, (-)-camphor + a reduced putidaredoxin + oxygen  &rarr;  (-)-<I>exo</I>-3-hydroxycamphor + an oxidized putidaredoxin + H<sub>2</sub>O, 3,6-diketocamphane + NADH + H<SUP>+</SUP> + oxygen  &rarr;  (-)-5-oxo-1,2-campholide + NAD<sup>+</sup> + H<sub>2</sub>O, [(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  [(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA + NADP<sup>+</sup> + H<sub>2</sub>O, [(1R)-4,5,5-trimethyl-2-oxocyclopent-3-enyl]acetate + ATP + coenzyme A  &rarr;  [(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA + AMP + diphosphate, [(2R)-3,3,4-trimethyl-6-oxo-3,6-dihydro-1H-pyran-2-yl]acetyl-CoA  &rarr;  &Delta;<SUP>2,5</SUP>-3,4,4-trimethylpimeloyl-CoA + H<SUP>+</SUP>"
PWY-7557	(-)-dehydrodiconiferyl alcohol degradation	"(-)-dehydrodiconiferyl acid + an electron-transfer quinone  &rarr;  (-)-dehydrodiconiferyl acid aldehyde + an electron-transfer quinol, (-)-dehydrodiconiferyl acid aldehyde + H<sub>2</sub>O  &harr;  (-)-dehydrodiconiferyl acid aldehyde gem-diol, (-)-dehydrodiconiferyl acid aldehyde gem-diol + an electron-transfer quinone  &rarr;  (-)-dehydrodiconiferyl acid carboxylate + an electron-transfer quinol + H<SUP>+</SUP>, (-)-dehydrodiconiferyl acid carboxylate + H<SUP>+</SUP>  &rarr;  4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + CO<SUB>2</SUB>, (-)-dehydrodiconiferyl alcohol + NAD<sup>+</sup>  &rarr;  (-)-dehydrodiconiferyl aldehyde + NADH + H<SUP>+</SUP>, (-)-dehydrodiconiferyl aldehyde + NAD<sup>+</sup> + H<sub>2</sub>O  &rarr;  (-)-dehydrodiconiferyl acid + NADH + 2 H<SUP>+</SUP>, 4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + oxygen  &rarr;  5-formylferulate + vanillin"
PWY-7556	(-)-microperfuranone biosynthesis	2 2-oxo-3-phenylpropanoate + 2 ATP + H<sub>2</sub>O  &rarr;  (-)-microperfuranone + 2 AMP + CO<SUB>2</SUB> + 2 diphosphate
PWY-5954	"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis"	"(1'<i>S</i>)-averantin + NADP<sup>+</sup>  &harr;  norsolorinate + NADPH + H<SUP>+</SUP>, (1'<i>S</i>)-averantin + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  (1'<i>S</i>,5'<i>R</i>)-hydroxyaverantin + NADP<sup>+</sup> + H<sub>2</sub>O, (1'<i>S</i>)-averantin + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  (1'<i>S</i>,5'<i>S</i>)-hydroxyaverantin + NADP<sup>+</sup> + H<sub>2</sub>O, (1'<i>S</i>,5'<i>R</i>)-hydroxyaverantin + NAD<sup>+</sup>  &rarr;  5'-oxoaverantin + NADH + H<SUP>+</SUP>, (1'<i>S</i>,5'<i>S</i>)-hydroxyaverantin + NAD<sup>+</sup>  &rarr;  5'-oxoaverantin + NADH + H<SUP>+</SUP>, 5'-oxoaverantin + H<SUP>+</SUP>  &rarr;  (1'<i>S</i>,5'<i>S</i>)-averufin + H<sub>2</sub>O, a hexanoyl-[acyl-carrier-protein] + 7 malonyl-CoA + 5 H<SUP>+</SUP>  &rarr;  norsolorinate anthrone + a <i>holo</i>-[acyl-carrier protein] + 7 CO<SUB>2</SUB> + 7 coenzyme A + 2 H<sub>2</sub>O, norsolorinate anthrone + oxygen  &rarr;  norsolorinate + H<sub>2</sub>O"
